Location_Name,Population,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,Hospitalizations,Hospitalization_Rate,Deaths,Death_Rate
53033004500,2894.646999,2520,87057.25,8827,304942.19,340,11745.82,334,11538.54,6,207.28,3,103.64,0,0
53033004600,3496.301,2985,85375.94,9701,277464.67,374,10697.02,360,10296.6,14,400.42,2,57.2,1,28.6
53033004700,11929.526,9661,80983.94,27173,227779.38,1240,10394.38,1182,9908.19,58,486.19,35,293.39,7,58.68
53033004800,5197.194,4028,77503.36,12368,237974.57,468,9004.86,449,8639.28,19,365.58,4,76.96,1,19.24
53033004900,7222.682999,5713,79098.03,18199,251970.08,754,10439.33,730,10107.05,24,332.29,8,110.76,6,83.07
53033005000,4646.041999,3574,76925.69,11996,258198.27,519,11170.8,504,10847.94,15,322.86,3,64.57,3,64.57
53033005100,3949.388,3445,87228.7,10956,277410.07,325,8229.12,322,8153.16,3,75.96,2,50.64,1,25.32
53033005200,8006.996996,5512,68839.79,18803,234832.11,767,9579.12,754,9416.76,13,162.36,4,49.96,1,12.49
53033005301,10656.38399,6758,63417.38,32815,307937.48,1425,13372.27,1405,13184.58,20,187.68,7,65.69,0,0
53033005302,8332.048993,8307,99699.37,28270,339292.29,526,6312.97,525,6300.97,1,12,0,0,0,0
53033005400,7629.712999,5949,77971.48,18866,247270.11,719,9423.68,689,9030.48,30,393.2,7,91.75,0,0
53033005600,6895.661001,5665,82153.11,16138,234031.23,683,9904.78,662,9600.24,21,304.54,9,130.52,0,0
53033005700,6548.968001,4984,76103.59,13759,210094.17,578,8825.82,562,8581.5,16,244.31,11,167.97,3,45.81
53033005801,5643.282,5239,92836.05,14845,263056.14,710,12581.33,683,12102.89,27,478.44,11,194.92,1,17.72
53033005802,6638.399999,4692,70679.68,13361,201268.38,667,10047.6,624,9399.86,43,647.75,10,150.64,1,15.06
53033005900,7284.636998,5231,71808.66,16082,220765.98,631,8662.07,607,8332.6,24,329.46,2,27.46,2,27.46
53033006000,6111.3,4994,81717.47,16819,275211.49,696,11388.74,666,10897.84,30,490.89,34,556.35,19,310.9
53033006100,5776.743,4667,80789.47,16028,277457.38,678,11736.72,633,10957.73,45,778.99,10,173.11,2,34.62
53033006200,4173.699,3651,87476.36,11872,284447.92,526,12602.73,510,12219.38,16,383.35,7,167.72,1,23.96
