Zip Code,Household Median Income,Year
98104,8286,2019
98101,9199,2019
98105,17146,2019
98118,17318,2019
98134,221,2019
98125,19283,2019
98102,15650,2019
98108,8491,2019
98188,9217,2019
98195,0,2019
98115,22922,2019
98144,13947,2019
